Level ID, Passable Space, Impassable Space, Playble Space Size, Unreachable Space Count, Unreachable Space Size,Room Count, Average Room Size, Biggest Room Size, Smallest Room Size, Decisions Per Room,Corridor Count, Average Corridor Size, Biggest Corridor Size, Smallest Corridor Size
0,4001,5999,4001,0,0,13,221.3077,1339,10,2.615385,16,70.25,206,3
0,4001,5999,4001,0,0,18,173.3889,1762,6,2.277778,17,51.76471,342,5
0,4001,5999,4001,0,0,14,225.2857,2449,6,1.857143,10,84.7,283,6
0,4001,5999,4001,0,0,2,1912,3638,186,3,4,44.25,83,5
0,4001,5999,4001,0,0,12,274.8333,1575,8,2.583333,11,63.90909,159,8
0,4001,5999,4001,0,0,20,141.4,1033,6,2.7,24,48.875,280,3
0,4001,5999,4001,0,0,9,364.3333,2809,6,3,12,60.16667,392,7
0,4001,5999,4001,0,0,11,283.0909,2513,8,3.090909,15,59.13334,191,4
0,4001,5999,4001,0,0,7,519,2942,6,2.142857,8,46,192,4
0,4001,5999,4001,0,0,14,212.7857,1068,6,3.071429,21,48.66667,180,2
