Level ID, Passable Space, Impassable Space, Playble Space Size, Unreachable Space Count, Unreachable Space Size,Room Count, Average Room Size, Biggest Room Size, Smallest Room Size, Decisions Per Room,Corridor Count, Average Corridor Size, Biggest Corridor Size, Smallest Corridor Size
0,3916,6084,1654,11,2262,20,175.3,995,6,1.1,11,37.27273,128,12
1,4728,5272,3884,5,844,10,460,3284,8,0.8,4,32,57,15
2,3979,6021,2541,11,1438,26,128.4231,634,6,1.307692,17,37.64706,69,13
3,4451,5549,4085,7,366,17,240.2353,3304,6,1,9,40.77778,89,4
4,3391,6609,1741,14,1650,23,138.5217,1400,6,0.6086956,7,29.28572,50,13
5,3221,6779,1853,12,1368,19,156.9474,1287,3,0.5789474,5,47.8,93,22
6,3971,6029,3094,9,877,26,132.1923,793,1,1.538462,19,28.10526,72,6
7,3945,6055,3681,7,264,18,205.3333,1551,6,1.277778,12,20.75,41,6
8,4324,5676,1494,11,2830,24,162.3333,1147,12,1.166667,14,30.57143,76,4
9,3872,6128,1522,15,2350,24,145.5417,1105,6,0.625,8,47.375,109,8
10,3900,6100,1559,10,2341,21,164.1905,1119,6,0.952381,9,50.22222,151,12
11,3635,6365,1422,11,2213,18,189.2778,1185,9,0.7777778,7,32.57143,77,8
12,4143,5857,1529,10,2614,16,246.0625,1147,12,0.5625,5,41.2,66,6
13,4119,5881,2852,9,1267,22,164.7273,1384,12,1.227273,13,38.07692,74,12
14,3539,6461,2809,10,730,29,99.03448,433,12,1.172414,16,41.6875,117,8
15,4362,5638,3492,10,870,17,244.9412,1089,6,0.8235294,7,28.28572,46,13
16,3483,6517,1026,13,2457,20,158.9,797,6,0.6,5,61,154,13
17,4042,5958,1379,12,2663,22,167.5,1056,16,0.8636364,10,35.7,90,4
18,4789,5211,2615,6,2174,18,251.5556,1330,6,1.222222,11,23.72727,89,6
19,4436,5564,2264,9,2172,15,278.5333,1929,6,0.6666667,4,64.5,220,8
20,4567,5433,3592,12,975,22,196.0909,1215,6,1.090909,11,23,72,8
21,3867,6133,1510,13,2357,30,112.5667,756,6,1.166667,17,28.82353,98,6
22,4578,5422,3955,6,623,25,156.92,698,5,1.72,22,29.77273,73,6
23,3218,6782,900,17,2318,23,135.8261,593,12,0.4347826,5,18.8,34,8
24,5018,4982,4107,3,911,10,482.6,3991,17,1.3,7,27.42857,53,4
25,4520,5480,2010,8,2510,17,244.1176,1142,6,1.117647,10,37,60,8
26,3713,6287,2673,6,1040,16,204.0625,1636,1,1.375,11,40.72727,84,6
27,4966,5034,4847,4,119,16,292.3125,1971,12,1.5625,13,22.23077,51,8
28,3301,6699,1709,12,1592,21,144.5714,643,12,0.8095238,9,29.44444,62,5
